,YYMMDDHHMI,STN,RN_HR1,RN_15M_MAX,RN_DAY
377,202208082100,600,1.0,0.5,5.0
378,202208082100,601,0.5,0.5,3.5
379,202208082100,602,0.0,0.0,5.5
380,202208082100,603,0.5,0.5,2.0
381,202208082100,604,0.0,0.0,0.0
382,202208082100,605,0.0,0.0,0.0
383,202208082100,606,0.0,0.0,4.5
384,202208082100,607,0.0,0.0,5.0
385,202208082100,608,0.0,0.0,13.5
386,202208082100,609,0.0,0.0,2.0
387,202208082100,610,0.0,0.0,2.5
388,202208082100,611,0.0,0.0,8.0
389,202208082100,612,0.0,0.0,11.0
390,202208082100,614,0.0,0.0,0.0
391,202208082100,615,0.0,0.0,0.0
392,202208082100,616,0.5,0.5,5.0
393,202208082100,617,0.0,0.0,4.5
394,202208082100,618,0.0,0.0,4.0
395,202208082100,619,1.0,0.5,4.5
396,202208082100,620,6.5,4.5,17.5
397,202208082100,621,1.5,0.5,3.0
398,202208082100,622,0.5,0.5,2.0
399,202208082100,623,0.5,0.5,4.5
400,202208082100,624,0.0,0.0,5.0
401,202208082100,625,0.0,0.0,0.0
402,202208082100,626,0.0,0.0,0.0
403,202208082100,627,0.0,0.0,3.5
404,202208082100,628,0.0,0.0,11.5
405,202208082100,629,0.0,0.0,5.5
406,202208082100,630,6.0,6.0,14.5
407,202208082100,631,5.5,5.0,46.0
408,202208082100,632,0.0,0.0,19.0
409,202208082100,633,0.0,0.0,23.0
410,202208082100,634,0.0,0.0,9.5
411,202208082100,635,0.0,0.0,0.0
412,202208082100,636,0.0,0.0,0.0
413,202208082100,637,0.0,0.0,9.0
414,202208082100,638,2.0,1.5,21.5
415,202208082100,639,1.0,0.5,2.0
416,202208082100,640,0.0,0.0,1.5
417,202208082100,641,0.0,0.0,1.0
418,202208082100,642,0.0,0.0,0.0
419,202208082100,643,0.0,0.0,0.0
420,202208082100,644,0.0,0.0,0.0
421,202208082100,645,0.0,0.5,11.5
422,202208082100,646,0.0,0.0,0.0
423,202208082100,647,0.0,0.0,0.0
424,202208082100,648,0.0,0.0,0.5
425,202208082100,649,47.0,26.0,192.5
426,202208082100,650,0.0,0.0,150.5
427,202208082100,651,-99.0,-99.0,-99.0
428,202208082100,652,-99.0,-99.0,-99.0
429,202208082100,654,1.0,1.0,42.0
430,202208082100,655,0.0,0.0,7.0
431,202208082100,656,0.0,0.0,27.0
432,202208082100,657,0.0,0.0,0.5
433,202208082100,658,0.0,0.0,6.0
434,202208082100,659,0.0,0.0,0.5
435,202208082100,660,4.0,2.0,23.0
436,202208082100,661,1.0,1.0,17.5
437,202208082100,662,7.5,7.5,81.5
438,202208082100,663,0.0,0.0,2.5
439,202208082100,664,0.0,0.0,70.0
440,202208082100,665,19.0,8.5,97.5
441,202208082100,666,0.0,0.0,1.5
442,202208082100,667,0.0,0.0,2.0
443,202208082100,669,0.0,0.0,0.0
444,202208082100,670,5.5,2.5,16.5
445,202208082100,671,4.0,1.5,20.0
446,202208082100,672,0.0,0.0,0.0
447,202208082100,673,0.0,0.0,0.0
448,202208082100,674,1.0,0.5,4.0
449,202208082100,675,0.5,0.5,123.0
450,202208082100,676,0.5,0.5,4.5
451,202208082100,677,0.5,0.5,3.5
452,202208082100,678,4.0,1.5,19.0
453,202208082100,679,2.5,1.5,11.5
454,202208082100,680,2.5,2.0,75.5
455,202208082100,681,4.5,2.5,64.0
456,202208082100,682,4.0,3.5,66.5
457,202208082100,687,0.0,0.0,0.0
458,202208082100,688,0.0,0.0,0.0
459,202208082100,689,0.0,0.0,0.0
460,202208082100,690,0.0,0.0,0.0
461,202208082100,691,0.0,0.0,0.5
462,202208082100,692,0.5,0.5,88.0
463,202208082100,693,0.5,0.5,4.0
464,202208082100,694,0.5,0.5,6.0
465,202208082100,695,7.1,5.4,122.7
466,202208082100,696,0.5,0.5,1.0
467,202208082100,697,0.0,0.0,0.0
468,202208082100,698,0.0,0.0,0.0
469,202208082100,699,0.0,0.0,0.0
470,202208082100,700,0.0,0.0,0.0
471,202208082100,701,0.0,0.0,0.0
472,202208082100,702,-99.0,-99.0,-99.0
473,202208082100,703,0.0,0.0,0.0
474,202208082100,704,0.0,0.0,0.0
475,202208082100,706,0.0,0.0,0.0
476,202208082100,707,0.0,0.0,0.0
477,202208082100,708,0.0,0.0,0.0
478,202208082100,709,0.0,0.0,0.0
479,202208082100,710,0.0,0.0,0.0
480,202208082100,711,0.0,0.0,0.0
481,202208082100,712,0.0,0.0,0.0
482,202208082100,713,0.0,0.0,0.0
483,202208082100,714,0.0,0.0,0.0
484,202208082100,716,0.0,0.0,0.0
485,202208082100,717,0.0,0.0,0.0
486,202208082100,718,0.0,0.0,0.0
487,202208082100,719,0.0,0.0,0.0
488,202208082100,720,0.0,0.0,0.0
489,202208082100,721,0.0,0.0,0.0
490,202208082100,722,0.0,-99.0,0.0
491,202208082100,723,0.0,0.0,0.0
492,202208082100,724,0.0,0.0,0.0
493,202208082100,725,0.0,0.0,0.0
494,202208082100,726,0.0,0.0,0.0
495,202208082100,727,0.0,0.0,0.0
496,202208082100,730,0.0,0.0,0.0
497,202208082100,731,0.0,0.0,0.0
498,202208082100,732,0.0,0.0,0.0
499,202208082100,733,0.0,-99.0,0.0
500,202208082100,734,0.0,0.0,0.0
501,202208082100,735,0.0,0.0,0.0
502,202208082100,736,0.0,0.0,0.0
503,202208082100,737,0.0,0.0,0.0
504,202208082100,738,0.0,0.0,0.0
505,202208082100,739,0.0,0.0,0.0
506,202208082100,741,0.0,0.0,0.0
507,202208082100,742,0.0,0.0,0.0
508,202208082100,743,0.0,0.0,0.0
509,202208082100,744,0.0,0.0,0.0
510,202208082100,745,0.0,0.0,0.0
511,202208082100,746,0.0,0.0,0.0
512,202208082100,747,0.0,0.0,0.0
513,202208082100,748,0.0,0.0,0.0
514,202208082100,749,0.0,0.0,0.0
515,202208082100,750,0.0,0.0,0.0
516,202208082100,751,0.0,0.0,0.0
517,202208082100,752,0.0,0.0,0.0
518,202208082100,753,0.0,0.0,0.0
519,202208082100,754,0.0,0.0,0.0
520,202208082100,755,0.0,0.0,0.0
521,202208082100,756,0.0,0.0,0.0
522,202208082100,757,0.0,0.0,0.0
523,202208082100,758,0.0,0.0,0.0
524,202208082100,759,0.0,0.0,0.0
525,202208082100,760,0.0,0.0,0.0
526,202208082100,761,0.0,0.0,0.0
527,202208082100,762,0.0,0.0,0.0
528,202208082100,763,0.0,0.0,0.0
529,202208082100,764,0.0,0.0,0.0
530,202208082100,765,0.0,0.0,0.0
531,202208082100,766,0.0,0.0,0.0
532,202208082100,767,0.0,0.0,0.0
533,202208082100,768,0.0,0.0,0.0
534,202208082100,769,0.0,0.0,0.0
535,202208082100,770,0.0,0.0,0.0
536,202208082100,771,0.0,0.0,0.0
537,202208082100,772,-99.0,-99.0,-99.0
538,202208082100,773,0.0,-99.0,0.0
539,202208082100,774,0.0,0.0,0.0
540,202208082100,775,0.0,0.0,0.0
541,202208082100,776,0.0,0.0,0.0
542,202208082100,777,0.0,0.0,0.0
543,202208082100,778,0.0,0.0,0.0
544,202208082100,779,0.0,0.0,0.0
545,202208082100,780,0.0,0.0,0.5
546,202208082100,781,0.0,0.0,0.0
547,202208082100,782,0.0,0.0,0.0
548,202208082100,783,0.0,0.0,0.0
549,202208082100,784,0.0,0.0,0.0
550,202208082100,785,0.0,0.0,0.0
551,202208082100,786,0.0,0.0,0.0
552,202208082100,787,0.0,0.0,0.0
553,202208082100,788,0.0,0.0,0.0
554,202208082100,789,0.0,0.0,0.0
555,202208082100,790,0.0,0.0,0.0
556,202208082100,791,0.0,0.0,0.0
557,202208082100,792,0.0,0.0,0.0
558,202208082100,793,0.0,0.0,0.0
559,202208082100,794,0.0,0.0,0.0
560,202208082100,795,0.0,0.0,0.0
561,202208082100,796,0.0,0.0,0.0
562,202208082100,797,0.0,0.0,0.0
563,202208082100,798,0.0,0.0,0.0
564,202208082100,799,0.0,0.0,0.0
565,202208082100,800,0.0,0.0,0.0
566,202208082100,801,0.0,0.0,0.0
567,202208082100,802,0.0,0.0,0.0
568,202208082100,803,0.0,0.0,0.0
569,202208082100,804,0.0,0.0,0.0
570,202208082100,805,0.0,0.0,0.0
571,202208082100,806,0.0,0.0,0.0
572,202208082100,807,0.0,0.0,0.0
573,202208082100,808,0.0,0.0,0.0
574,202208082100,809,0.0,0.0,0.0
575,202208082100,810,0.0,0.0,0.0
576,202208082100,811,0.0,0.0,0.0
577,202208082100,812,0.0,0.0,0.0
578,202208082100,813,0.0,0.0,0.0
579,202208082100,814,0.0,0.0,1.5
580,202208082100,815,0.0,0.0,0.0
581,202208082100,816,0.0,0.0,0.0
582,202208082100,817,0.0,0.0,0.0
583,202208082100,818,0.5,0.5,0.5
584,202208082100,819,0.0,0.0,0.0
585,202208082100,820,0.0,0.0,0.0
586,202208082100,821,0.0,0.0,0.0
587,202208082100,822,0.0,0.0,0.0
588,202208082100,823,0.0,0.0,0.0
589,202208082100,824,0.0,0.0,0.0
590,202208082100,825,0.0,0.0,0.0
591,202208082100,826,0.0,0.0,0.0
592,202208082100,827,0.0,0.0,0.0
593,202208082100,828,0.0,0.0,0.0
594,202208082100,829,0.0,0.0,0.0
595,202208082100,830,0.0,0.0,0.0
596,202208082100,831,0.0,0.0,1.5
597,202208082100,832,0.0,0.0,0.0
598,202208082100,833,0.0,0.0,0.0
599,202208082100,834,0.0,0.0,0.0
600,202208082100,835,0.0,0.0,0.0
601,202208082100,836,0.0,0.0,0.0
602,202208082100,837,0.0,0.0,0.0
603,202208082100,838,1.0,0.5,1.5
604,202208082100,839,0.0,0.0,0.0
605,202208082100,840,0.0,0.0,0.0
606,202208082100,841,0.0,0.0,0.0
607,202208082100,842,0.0,0.0,0.0
608,202208082100,843,0.0,0.0,0.0
609,202208082100,844,0.0,0.0,0.0
610,202208082100,845,0.0,0.0,0.0
611,202208082100,846,0.0,0.0,0.0
612,202208082100,847,0.0,0.0,0.0
613,202208082100,848,0.0,0.0,0.0
614,202208082100,849,0.0,0.0,0.0
615,202208082100,850,0.0,0.0,0.0
616,202208082100,851,0.0,0.0,0.0
617,202208082100,852,0.0,0.0,0.0
618,202208082100,853,0.0,0.0,0.0
619,202208082100,854,0.0,0.0,0.0
620,202208082100,855,0.0,0.0,0.0
621,202208082100,856,0.0,0.0,0.0
622,202208082100,857,0.0,0.0,0.0
623,202208082100,858,0.0,0.0,0.0
624,202208082100,859,0.0,0.0,0.0
625,202208082100,860,0.0,0.0,0.0
626,202208082100,861,0.0,0.0,0.0
627,202208082100,862,0.0,0.0,0.0
628,202208082100,863,0.0,0.0,0.0
629,202208082100,864,0.0,0.0,0.0
630,202208082100,865,0.0,0.0,0.0
631,202208082100,866,0.0,0.0,0.0
632,202208082100,867,0.0,0.0,0.0
633,202208082100,868,0.0,0.0,0.5
634,202208082100,869,0.0,0.0,0.0
635,202208082100,870,0.0,0.0,0.0
636,202208082100,871,0.0,0.0,0.5
637,202208082100,872,0.0,0.0,0.0
638,202208082100,873,3.5,1.0,31.5
639,202208082100,874,0.0,0.0,158.0
640,202208082100,875,9.0,4.0,46.0
641,202208082100,876,0.5,0.5,4.5
642,202208082100,877,3.5,1.5,38.0
643,202208082100,878,0.5,0.5,0.5
